symbol,name,time,epsEstimate,reportedEps,suprise,date
PKE,Park Electrochemical Corp,Before Market Open,0.07,0.1,+42.86,2019-01-02
SONC,Sonic Corp,After Market Close,-,-,-,2019-01-02
PCRX,Pacira Biosciences Inc,TAS,0.27,0.47,+74.07,2019-01-03
CCF,Chase Corp,Time Not Supplied,-,-,-,2019-01-03
SMPL,Simply Good Foods Co,TAS,0.19,0.18,-5.26,2019-01-03
LNDC,Landec Corp,TAS,-0.02,-0.02,-,2019-01-03
RECN,Resources Connection Inc,TAS,0.23,0.33,+43.48,2019-01-03
UNF,UniFirst Corp,TAS,1.92,1.99,+3.65,2019-01-03
NOBH,Nobility Homes Inc,Time Not Supplied,-,-,-,2019-01-03
OHRP,OHR Pharmaceutical Inc,TAS,-,-,-,2019-01-03
ANGO,AngioDynamics Inc,TAS,0.21,0.22,+4.76,2019-01-04
CALM,Cal-Maine Foods Inc,TAS,0.48,0.49,+2.08,2019-01-04
HURC,Hurco Companies Inc,Before Market Open,-,-,-,2019-01-04
TAYD,Taylor Devices Inc,Time Not Supplied,-,-,-,2019-01-04
LW,Lamb Weston Holdings Inc,TAS,0.72,0.8,+11.11,2019-01-04
NEPH,Nephros Inc,Time Not Supplied,-,-,-,2019-01-04
RPM,RPM International Inc,TAS,0.67,0.52,-22.39,2019-01-04
EXAS,Exact Sciences Corp,TAS,-0.49,-0.44,+10.2,2019-01-06
AMAG,AMAG Pharmaceuticals Inc,TAS,-0.88,-0.6,+31.82,2019-01-07
ETCC,Environmental Tectonics Corp,After Market Close,-,-,-,2019-01-07
CMC,Commercial Metals Co,TAS,0.33,0.35,+6.06,2019-01-07
EACO,EACO Corp,After Market Close,-,-,-,2019-01-07
CUTR,Cutera Inc,TAS,0.15,-0.11,-173.33,2019-01-07
FPAY,FlexShopper Inc,After Market Close,-,-,-,2019-01-07
LKM,Link Motion Inc,After Market Close,-,-,-,2019-01-07
MPAA,Motorcar Parts of America Inc,Before Market Open,0.38,0.35,-7.89,2019-01-08
AZZ,AZZ Inc,TAS,0.61,-,-,2019-01-08
TVTV,Wherevertv Broadcasting Corporation Inc,Time Not Supplied,-,-,-,2019-01-08
NTIC,Northern Technologies International Corp,TAS,-,-,-,2019-01-08
LNN,Lindsay Corp,TAS,0.45,0.38,-15.56,2019-01-08
GMED,Globus Medical Inc,TAS,0.39,0.43,+10.26,2019-01-08
SGH,Smart Global Holdings Inc,After Market Close,1.77,1.75,-1.13,2019-01-08
KSHB,KushCo Holdings Inc,Before Market Open,-0.03,-0.1,-233.33,2019-01-08
HELE,Helen of Troy Ltd,TAS,2.38,2.4,+0.84,2019-01-08
SVU,Supervalu Inc,Before Market Open,-,-,-,2019-01-08
TLND,Talend SA,TAS,-0.15,-0.13,+13.33,2019-01-08
WDFC,WD-40 Co,TAS,0.95,0.95,-,2019-01-09
AYI,Acuity Brands Inc,TAS,2.14,2.32,+8.41,2019-01-09
BBBY,Bed Bath & Beyond Inc,TAS,0.17,0.18,+5.88,2019-01-09
STZ,Constellation Brands Inc,TAS,2.06,2.37,+15.05,2019-01-09
GBX,Greenbrier Companies Inc,TAS,0.47,0.54,+14.89,2019-01-09
LEN,Lennar Corp,TAS,1.92,2.42,+26.04,2019-01-09
CPPXF,Continental Energy Corp,Time Not Supplied,-,-,-,2019-01-09
MSM,MSC Industrial Direct Co Inc,TAS,1.32,1.33,+0.76,2019-01-09
CHK,Chesapeake Energy Corp,TAS,0.19,0.21,+10.53,2019-01-09
FC,Franklin Covey Co,TAS,-0.19,-0.1,+47.37,2019-01-09
KBH,KB Home,TAS,0.93,0.96,+3.23,2019-01-09
VISI,Volt Information Sciences Inc,TAS,-,-,-,2019-01-09
ISRG,Intuitive Surgical Inc,TAS,3.07,2.96,-3.58,2019-01-09
NEPH,Nephros Inc,Time Not Supplied,-,-,-,2019-01-09
PSMT,PriceSmart Inc,TAS,0.67,0.48,-28.36,2019-01-09
SCHN,Schnitzer Steel Industries Inc,TAS,0.57,0.58,+1.75,2019-01-09
SLP,Simulations Plus Inc,TAS,0.12,0.09,-25,2019-01-09
LOOP,Loop Industries Inc,After Market Close,-,-,-,2019-01-09
ALJJ,ALJ Regional Holdings Inc,TAS,-,-,-,2019-01-10
AEHR,AEHR Test Systems,TAS,-0.02,-0.02,-,2019-01-10
ADXS,Advaxis Inc,After Market Close,-2.2,-4.35,-97.73,2019-01-10
BKSC,Bank of South Carolina,Time Not Supplied,-,-,-,2019-01-10
CSVI,Computer Services Inc,Before Market Open,-,-,-,2019-01-10
VOXX,VOXX International Corp,TAS,-,-,-,2019-01-10
SAR,Saratoga Investment Corp,TAS,0.6,0.49,-18.33,2019-01-10
HGSH,China HGS Real Estate Inc,Before Market Open,-,-,-,2019-01-10
SNX,SYNNEX Corp,TAS,3.12,3.65,+16.99,2019-01-10
EMMS,Emmis Communications Corp,TAS,-,-,-,2019-01-10
LEDS,SemiLEDs Corp,After Market Close,-,-,-,2019-01-10
RELL,Richardson Electronics Ltd,TAS,0.05,-0.02,-140,2019-01-10
